iter	Passed	Remaining
0	137	137819
1	138	69170
2	139	46347
3	140	34873
4	141	28066
5	141	23488
6	142	20241
7	143	17819
8	144	15919
9	145	14376
10	146	13134
11	147	12108
12	147	11224
13	148	10459
14	149	9825
15	150	9248
16	151	8751
17	152	8305
18	153	7906
19	153	7541
20	154	7217
21	155	6919
22	156	6649
23	157	6398
24	158	6163
25	158	5946
26	159	5747
27	160	5561
28	160	5385
29	161	5222
30	162	5072
31	162	4928
32	163	4790
33	164	4665
34	164	4540
35	165	4423
36	165	4315
37	166	4212
38	166	4110
39	167	4016
40	167	3928
41	168	3845
42	169	3764
43	169	3686
44	170	3611
45	170	3538
46	171	3468
47	171	3402
48	172	3339
49	172	3279
50	173	3221
51	173	3164
52	174	3109
53	174	3057
54	175	3007
55	175	2958
56	175	2911
57	176	2866
58	176	2822
59	177	2780
60	177	2739
61	178	2700
62	179	2662
63	179	2625
64	180	2590
65	180	2555
66	181	2521
67	181	2485
68	181	2452
69	182	2421
70	182	2391
71	183	2362
72	183	2333
73	184	2305
74	184	2277
75	185	2251
76	185	2225
77	186	2199
78	186	2174
79	187	2150
80	187	2126
81	187	2103
82	188	2081
83	188	2059
84	189	2036
85	189	2015
86	189	1993
87	190	1973
88	190	1954
89	191	1935
90	191	1917
91	192	1898
92	192	1881
93	193	1864
94	194	1848
95	194	1832
96	195	1816
97	195	1800
98	196	1784
99	196	1769
100	197	1754
101	197	1737
102	197	1723
103	198	1708
104	198	1694
105	199	1680
106	199	1667
107	200	1653
108	200	1641
109	201	1630
110	202	1618
111	202	1605
112	202	1593
113	203	1581
114	203	1569
115	204	1558
116	204	1546
117	205	1535
118	205	1523
119	206	1512
120	206	1502
121	207	1492
122	207	1480
123	208	1470
124	208	1460
125	209	1450
126	209	1440
127	209	1429
128	210	1419
129	210	1410
130	211	1401
131	211	1392
132	212	1383
133	212	1374
134	213	1366
135	213	1357
136	214	1349
137	214	1340
138	215	1332
139	215	1324
140	216	1316
141	216	1309
142	217	1301
143	217	1293
144	218	1286
145	218	1280
146	219	1272
147	219	1265
148	220	1258
149	220	1252
150	221	1245
151	222	1238
152	222	1231
153	223	1225
154	223	1218
155	224	1212
156	224	1206
157	225	1200
158	225	1194
159	226	1188
160	226	1182
161	227	1177
162	228	1171
163	229	1167
164	229	1162
165	230	1157
166	231	1152
167	231	1147
168	232	1142
169	233	1137
170	233	1132
171	234	1128
172	235	1123
173	235	1118
174	236	1114
175	236	1109
176	237	1104
177	238	1099
178	238	1095
179	239	1090
180	239	1083
181	240	1079
182	240	1074
183	241	1069
184	241	1064
185	242	1059
186	242	1055
187	243	1051
188	244	1047
189	244	1042
190	245	1037
191	245	1033
192	246	1029
193	246	1025
194	247	1020
195	247	1016
196	248	1012
197	248	1008
198	249	1003
199	249	999
200	250	995
201	251	991
202	251	987
203	252	983
204	252	979
205	253	975
206	253	972
207	254	968
208	254	964
209	255	960
210	255	956
211	256	952
212	257	950
213	257	946
214	258	942
215	258	939
216	259	936
217	259	932
218	260	928
219	260	924
220	261	922
221	262	918
222	262	915
223	263	911
224	263	908
225	264	904
226	264	901
227	265	898
228	265	894
229	266	891
230	266	887
231	267	884
232	267	881
233	268	877
234	268	874
235	269	870
236	269	867
237	269	864
238	270	861
239	270	857
240	271	854
241	271	851
242	272	848
243	273	846
244	273	842
245	274	840
246	274	837
247	275	834
248	275	831
249	276	828
250	276	826
251	277	822
252	277	819
253	278	816
254	278	813
255	279	810
256	279	808
257	279	805
258	280	802
259	280	799
260	281	796
261	281	794
262	282	791
263	283	789
264	283	786
265	284	783
266	284	781
267	285	778
268	285	776
269	286	773
270	286	771
271	287	768
272	287	766
273	288	763
274	288	761
275	289	759
276	289	756
277	290	754
278	291	752
279	291	749
280	292	747
281	292	745
282	293	742
283	293	740
284	294	738
285	294	735
286	295	733
287	295	731
288	296	728
289	296	726
290	297	724
291	297	722
292	298	719
293	298	717
294	299	715
295	299	713
296	300	711
297	300	708
298	301	706
299	301	704
300	302	702
301	302	700
302	303	697
303	303	695
304	304	693
305	304	691
306	305	689
307	305	687
308	306	685
309	307	683
310	307	681
311	308	679
312	308	677
313	309	675
314	309	673
315	310	671
316	310	669
317	311	667
318	311	665
319	312	663
320	312	661
321	313	659
322	314	658
323	314	656
324	315	654
325	315	653
326	316	651
327	316	649
328	317	647
329	318	645
330	318	644
331	319	642
332	319	640
333	320	638
334	320	636
335	321	634
336	321	633
337	322	631
338	323	630
339	323	628
340	324	626
341	324	624
342	325	622
343	325	621
344	326	619
345	326	617
346	327	616
347	327	614
348	328	612
349	328	610
350	329	608
351	329	607
352	330	605
353	330	603
354	331	602
355	331	600
356	332	598
357	332	597
358	333	595
359	334	593
360	334	592
361	335	590
362	335	588
363	336	587
364	336	585
365	337	584
366	337	582
367	338	581
368	338	579
369	339	578
370	340	576
371	340	575
372	341	573
373	341	572
374	342	570
375	342	569
376	343	567
377	344	566
378	344	564
379	345	563
380	345	561
381	346	560
382	346	558
383	347	557
384	348	556
385	348	554
386	349	553
387	349	551
388	350	550
389	351	549
390	351	547
391	352	546
392	352	544
393	353	543
394	353	541
395	354	540
396	354	539
397	355	537
398	356	537
399	357	536
400	358	534
401	358	533
402	359	532
403	359	530
404	360	529
405	361	528
406	361	526
407	362	525
408	362	524
409	363	522
410	363	521
411	364	520
412	365	518
413	365	517
414	366	516
415	366	514
416	367	513
417	367	512
418	368	510
419	368	509
420	369	508
421	369	506
422	370	505
423	370	503
424	371	502
425	372	501
426	372	499
427	373	498
428	373	497
429	374	495
430	374	494
431	375	493
432	375	491
433	376	490
434	376	489
435	376	487
436	377	486
437	377	484
438	378	483
439	378	482
440	379	480
441	379	479
442	380	478
443	380	476
444	381	475
445	381	474
446	382	472
447	382	471
448	383	470
449	383	469
450	384	468
451	384	466
452	385	465
453	386	464
454	386	463
455	387	461
456	387	460
457	388	459
458	388	458
459	389	456
460	389	455
461	390	454
462	390	453
463	391	451
464	391	450
465	392	449
466	392	448
467	393	446
468	393	445
469	394	444
470	394	443
471	395	441
472	395	440
473	396	439
474	396	438
475	397	437
476	397	435
477	397	434
478	398	433
479	399	432
480	399	431
481	399	429
482	400	428
483	401	427
484	401	426
485	402	425
486	402	424
487	403	423
488	403	421
489	404	420
490	404	419
491	405	418
492	405	417
493	406	415
494	406	414
495	406	413
496	407	412
497	407	411
498	408	410
499	408	408
500	409	407
501	409	406
502	410	405
503	410	404
504	411	403
505	411	402
506	412	400
507	412	399
508	413	398
509	413	397
510	414	396
511	415	395
512	415	394
513	416	393
514	416	392
515	417	391
516	417	390
517	418	389
518	418	388
519	419	387
520	419	386
521	420	384
522	420	383
523	421	382
524	421	381
525	422	380
526	422	379
527	423	378
528	423	377
529	424	376
530	424	375
531	425	374
532	425	372
533	426	371
534	426	370
535	427	369
536	428	369
537	428	368
538	429	367
539	429	366
540	430	365
541	430	364
542	431	363
543	431	361
544	432	360
545	432	359
546	433	358
547	433	357
548	434	356
549	434	355
550	435	354
551	435	353
552	436	352
553	436	351
554	437	350
555	437	349
556	437	348
557	438	347
558	438	346
559	439	345
560	440	344
561	440	343
562	441	342
563	441	341
564	442	340
565	442	339
566	443	338
567	443	337
568	444	336
569	444	335
570	445	334
571	445	333
572	446	332
573	446	331
574	447	330
575	447	329
576	448	328
577	448	327
578	449	326
579	449	325
580	450	324
581	450	323
582	451	322
583	451	321
584	452	320
585	452	319
586	452	318
587	453	317
588	454	316
589	454	315
590	455	314
591	455	313
592	456	313
593	456	312
594	457	311
595	457	310
596	458	309
597	458	308
598	459	307
599	459	306
600	460	305
601	460	304
602	460	303
603	461	302
604	462	301
605	462	300
606	462	299
607	463	298
608	463	297
609	464	296
610	464	295
611	465	295
612	465	294
613	466	293
614	466	292
615	467	291
616	467	290
617	468	289
618	468	288
619	469	287
620	469	286
621	470	285
622	470	284
623	471	283
624	471	283
625	472	282
626	472	281
627	473	280
628	473	279
629	474	278
630	474	277
631	475	276
632	475	275
633	476	274
634	476	273
635	477	273
636	477	272
637	478	271
638	478	270
639	479	269
640	479	268
641	480	267
642	480	266
643	480	265
644	481	264
645	481	264
646	482	263
647	482	262
648	483	261
649	483	260
650	484	259
651	484	258
652	485	257
653	486	257
654	486	256
655	487	255
656	487	254
657	488	253
658	488	252
659	488	251
660	489	251
661	489	250
662	490	249
663	490	248
664	491	247
665	491	246
666	492	245
667	492	245
668	493	244
669	493	243
670	494	242
671	494	241
672	495	240
673	495	239
674	496	238
675	496	238
676	497	237
677	498	236
678	498	235
679	498	234
680	499	233
681	499	233
682	500	232
683	500	231
684	501	230
685	501	229
686	502	228
687	502	228
688	503	227
689	503	226
690	504	225
691	504	224
692	505	223
693	505	223
694	506	222
695	506	221
696	507	220
697	507	219
698	508	218
699	508	218
700	509	217
701	509	216
702	510	215
703	510	214
704	511	213
705	511	213
706	512	212
707	512	211
708	513	210
709	513	209
710	514	209
711	514	208
712	515	207
713	515	206
714	516	205
715	516	204
716	517	204
717	517	203
718	518	202
719	518	201
720	519	200
721	519	200
722	520	199
723	520	198
724	521	197
725	521	196
726	522	196
727	522	195
728	523	194
729	523	193
730	524	192
731	524	192
732	525	191
733	525	190
734	526	189
735	526	188
736	527	188
737	527	187
738	528	186
739	528	185
740	529	185
741	529	184
742	530	183
743	530	182
744	531	181
745	531	181
746	532	180
747	532	179
748	533	178
749	533	177
750	534	177
751	534	176
752	535	175
753	535	174
754	536	174
755	536	173
756	537	172
757	537	171
758	538	170
759	538	170
760	539	169
761	539	168
762	540	167
763	540	167
764	541	166
765	541	165
766	542	164
767	542	163
768	543	163
769	543	162
770	544	161
771	544	160
772	545	160
773	545	159
774	546	158
775	546	157
776	547	157
777	547	156
778	548	155
779	548	154
780	549	154
781	549	153
782	550	152
783	550	151
784	551	150
785	551	150
786	552	149
787	552	148
788	553	147
789	553	147
790	554	146
791	554	145
792	555	144
793	555	144
794	556	143
795	556	142
796	557	141
797	557	141
798	558	140
799	558	139
800	559	138
801	559	138
802	560	137
803	560	136
804	561	135
805	561	135
806	562	134
807	562	133
808	563	132
809	563	132
810	564	131
811	564	130
812	565	129
813	565	129
814	566	128
815	566	127
816	567	127
817	567	126
818	568	125
819	568	124
820	569	124
821	569	123
822	570	122
823	570	121
824	571	121
825	571	120
826	572	119
827	573	119
828	573	118
829	574	117
830	574	116
831	575	116
832	575	115
833	576	114
834	576	113
835	577	113
836	577	112
837	578	111
838	578	111
839	579	110
840	579	109
841	580	108
842	580	108
843	581	107
844	581	106
845	582	105
846	582	105
847	583	104
848	583	103
849	584	103
850	584	102
851	585	101
852	585	100
853	586	100
854	586	99
855	587	98
856	587	98
857	588	97
858	588	96
859	589	95
860	589	95
861	590	94
862	590	93
863	591	93
864	591	92
865	592	91
866	593	91
867	593	90
868	594	89
869	594	88
870	595	88
871	595	87
872	596	86
873	596	86
874	597	85
875	597	84
876	598	83
877	598	83
878	599	82
879	599	81
880	600	81
881	600	80
882	601	79
883	601	78
884	602	78
885	602	77
886	603	76
887	603	76
888	604	75
889	604	74
890	605	74
891	605	73
892	606	72
893	606	71
894	607	71
895	607	70
896	608	69
897	608	69
898	609	68
899	609	67
900	610	67
901	610	66
902	610	65
903	611	64
904	612	64
905	612	63
906	613	62
907	613	62
908	614	61
909	614	60
910	614	60
911	615	59
912	615	58
913	616	58
914	616	57
915	617	56
916	617	55
917	618	55
918	618	54
919	619	53
920	619	53
921	620	52
922	620	51
923	621	51
924	621	50
925	622	49
926	622	49
927	623	48
928	623	47
929	624	46
930	624	46
931	625	45
932	625	44
933	626	44
934	626	43
935	627	42
936	627	42
937	628	41
938	628	40
939	629	40
940	629	39
941	630	38
942	630	38
943	631	37
944	631	36
945	632	36
946	632	35
947	633	34
948	633	34
949	634	33
950	634	32
951	635	32
952	635	31
953	635	30
954	636	29
955	636	29
956	637	28
957	637	27
958	638	27
959	638	26
960	639	25
961	639	25
962	640	24
963	640	23
964	641	23
965	641	22
966	642	21
967	642	21
968	643	20
969	643	19
970	644	19
971	644	18
972	645	17
973	646	17
974	646	16
975	646	15
976	647	15
977	647	14
978	648	13
979	648	13
980	649	12
981	649	11
982	650	11
983	650	10
984	651	9
985	651	9
986	652	8
987	652	7
988	653	7
989	653	6
990	654	5
991	654	5
992	655	4
993	656	3
994	656	3
995	657	2
996	657	1
997	658	1
998	658	0
999	659	0
