iter	Passed	Remaining
0	115	115771
1	116	58143
2	117	38927
3	117	29332
4	118	23606
5	119	19771
6	119	17016
7	120	14972
8	121	13374
9	122	12087
10	122	11032
11	123	10151
12	124	9416
13	124	8793
14	125	8257
15	126	7789
16	127	7358
17	127	6973
18	128	6625
19	128	6313
20	129	6031
21	129	5772
22	130	5536
23	130	5319
24	131	5125
25	132	4945
26	132	4788
27	133	4632
28	134	4491
29	134	4353
30	135	4224
31	135	4111
32	136	4008
33	137	3910
34	138	3814
35	138	3721
36	139	3635
37	140	3550
38	140	3469
39	141	3391
40	141	3316
41	142	3245
42	142	3179
43	143	3123
44	144	3064
45	145	3007
46	145	2952
47	146	2897
48	146	2848
49	147	2799
50	147	2751
51	148	2704
52	148	2661
53	149	2622
54	150	2584
55	150	2545
56	151	2508
57	152	2471
58	152	2434
59	153	2399
60	153	2367
61	154	2333
62	154	2302
63	155	2271
64	156	2246
65	156	2221
66	157	2194
67	158	2169
68	158	2143
69	159	2118
70	159	2092
71	160	2067
72	161	2044
73	161	2023
74	162	2001
75	162	1981
76	163	1960
77	164	1939
78	164	1919
79	165	1899
80	165	1878
81	166	1858
82	166	1837
83	166	1819
84	167	1802
85	168	1794
86	169	1779
87	170	1765
88	171	1750
89	171	1736
90	172	1721
91	172	1707
92	173	1692
93	174	1677
94	174	1663
95	175	1651
96	175	1637
97	176	1623
98	176	1609
99	177	1596
100	177	1583
101	178	1571
102	178	1558
103	179	1546
104	179	1534
105	180	1522
106	181	1511
107	181	1501
108	182	1490
109	182	1479
110	183	1468
111	183	1458
112	184	1448
113	185	1438
114	185	1429
115	186	1420
116	187	1412
117	188	1407
118	188	1398
119	189	1389
120	190	1381
121	190	1372
122	191	1364
123	192	1357
124	192	1349
125	193	1341
126	194	1333
127	194	1325
128	195	1318
129	195	1310
130	196	1302
131	196	1295
132	197	1287
133	198	1280
134	198	1273
135	199	1269
136	200	1263
137	201	1256
138	201	1249
139	202	1242
140	202	1235
141	203	1228
142	203	1221
143	204	1214
144	204	1207
145	205	1201
146	206	1197
147	206	1191
148	207	1185
149	208	1179
150	208	1172
151	209	1166
152	209	1159
153	209	1153
154	210	1148
155	211	1143
156	212	1138
157	212	1134
158	213	1130
159	214	1124
160	214	1118
161	215	1112
162	215	1106
163	215	1101
164	216	1095
165	216	1090
166	217	1084
167	218	1081
168	218	1076
169	219	1072
170	220	1067
171	220	1062
172	221	1057
173	221	1052
174	222	1047
175	222	1043
176	223	1038
177	224	1035
178	224	1031
179	225	1027
180	226	1022
181	226	1018
182	227	1013
183	227	1008
184	227	1004
185	228	999
186	228	995
187	229	991
188	230	987
189	231	984
190	231	982
